"PW003","(d)TDP-fucose synthesis"
"PW004","(d)TDP-Fuc3NAc synthesis"
"PW005","(d)TDP-6-deoxy-L-talose synthesis"
"PW006","(d)TDP-fucofuranose synthesis"
"PW008","(d)TDP-Fuc4NAc synthesis"
"PW009","(d)TDP-Qui4NFo synthesis"
"PW010","(d)TDP-Qui4NAc synthesis"
"PW011","(d)TDP-L-rhamnose synthesis"
"PW012","(d)TDP-Qui3NAc synthesis"
"PW013","CMP-Neu5NAc synthesis"
"PW014","CMP-Leg5NAc7NAc synthesis"
"PW015","CMP-Leg5NAc7NAc synthesis"
"PW016","CMP-L-Pse5NAc7NAc synthesis"
"PW017","CMP-L-Pse5NAc7NAc synthesis"
"PW018","CDP-6-deoxy-gulose synthesis"
"PW019","CDP-paratose/CDP-abequose synthesis"
"PW020","CDP-tyvelose synthesis"
"PW021","CDP-L-ascarylose synthesis"
"PW022","GDP-Per4N synthesis"
"PW023","GDP-Per4NAc synthesis"
"PW024","GDP-ManA synthesis"
"PW025","GDP-mannose synthesis"
"PW026","GDP-L-colitose synthesis"
"PW027","GDP-D-glycero-beta-D-manno-heptose synthesis"
"PW028","GDP-6-deoxy-talose/GDP-rhamnose synthesis"
"PW029","GDP-6-deoxy-D-manno-heptose synthesis"
"PW030","GDP-6-deoxy-D-altro-heptose synthesis"
"PW031","GDP-L-fucose synthesis"
"PW032","UDP-Man2NAc3NAcA synthesis"
"PW033","UDP-Qui2NAc synthesis"
"PW035","UDP-L-Qui2NAc synthesis"
"PW036","UDP-L-Rha2NAc synthesis"
"PW037","UDP-L-Fuc2NAc synthesis"
"PW038","UDP-Fuc2NAc synthesis"
"PW039","UDP-Man2NAc synthesis"
"PW040","UDP-Man2NAcA synthesis"
"PW041","UDP-Glc2NAcA synthesis"
"PW042","UDP-Gal2NAcA synthesis"
"PW043","UDP-Bac2NAc4NAc synthesis"
"PW044","UDP-Glc2NAc synthesis"
"PW045","UDP-Glc2NAc synthesis"
"PW046","UDP-xylose synthesis"
"PW047","UDP-yelosamine synthesis"
"PW048","UDP-galactofuranose synthesis"
"PW049","UDP-L-arabinose synthesis"
"PW050","UDP-galactose synthesis"
"PW051","UDP-GlcA synthesis"
"PW052","UDP-GalA synthesis"
"PW053","UDP-L-Ara4N synthesis"
"PW054","UDP-L-Ara4NFo synthesis"
"PW055","UDP-L-rhamnose synthesis"
"PW056","UDP-Qui4NAc synthesis"
"PW057","ADP-L-glycero-alpha-D-manno-heptose synthesis"
"PW058","GDP-L-galactose synthesis"
"PW059","(d)TDP-6-deoxy-L-talose synthesis"
"PW060","CDP-cereose synthesis/CDP-cillose synthesis"
"PW061","UDP-Gal2NAc synthesis"
"PW062","UDP-glucose synthesis"
